id,paintjobFamilies,weaponIds,spriteMap
diableavionics_dra_arbitratorArtassaut,DRA,diableavionics_arbitratorArtassaut,graphics/da/ships/arbitrator/diableavionics_arbitrator_artassault.png -> graphics/DRA/ships/arbitrator/diableavionics_arbitrator_artassault.png
diableavionics_lilium_arbitratorArtassaut,lilium,diableavionics_arbitratorArtassaut,graphics/da/ships/arbitrator/diableavionics_arbitrator_artassault.png -> graphics/lilium/ships/arbitrator/diableavionics_arbitrator_artassault.png
diableavionics_ornate_arbitratorArtassaut,ornate,diableavionics_arbitratorArtassaut,graphics/da/ships/arbitrator/diableavionics_arbitrator_artassault.png -> graphics/ornate/ships/arbitrator/diableavionics_arbitrator_artassault.png
diableavionics_royalblue_arbitratorArtassaut,royalblue,diableavionics_arbitratorArtassaut,graphics/da/ships/arbitrator/diableavionics_arbitrator_artassault.png -> graphics/royalblue/ships/arbitrator/diableavionics_arbitrator_artassault.png
diableavionics_snowblast_arbitratorArtassaut,snowblast,diableavionics_arbitratorArtassaut,graphics/da/ships/arbitrator/diableavionics_arbitrator_artassault.png -> graphics/snowblast/ships/arbitrator/diableavionics_arbitrator_artassault.png
diableavionics_sunrise_arbitratorArtassaut,sunrise,diableavionics_arbitratorArtassaut,graphics/da/ships/arbitrator/diableavionics_arbitrator_artassault.png -> graphics/sunrise/ships/arbitrator/diableavionics_arbitrator_artassault.png
diableavionics_dra_arbitratorBooster,DRA,diableavionics_arbitratorBooster,graphics/da/ships/arbitrator/diableavionics_arbitratorBooster.png -> graphics/DRA/ships/arbitrator/diableavionics_arbitratorBooster.png
diableavionics_lilium_arbitratorBooster,lilium,diableavionics_arbitratorBooster,graphics/da/ships/arbitrator/diableavionics_arbitratorBooster.png -> graphics/lilium/ships/arbitrator/diableavionics_arbitratorBooster.png
diableavionics_ornate_arbitratorBooster,ornate,diableavionics_arbitratorBooster,graphics/da/ships/arbitrator/diableavionics_arbitratorBooster.png -> graphics/ornate/ships/arbitrator/diableavionics_arbitratorBooster.png
diableavionics_royalblue_arbitratorBooster,royalblue,diableavionics_arbitratorBooster,graphics/da/ships/arbitrator/diableavionics_arbitratorBooster.png -> graphics/royalblue/ships/arbitrator/diableavionics_arbitratorBooster.png
diableavionics_snowblast_arbitratorBooster,snowblast,diableavionics_arbitratorBooster,graphics/da/ships/arbitrator/diableavionics_arbitratorBooster.png -> graphics/snowblast/ships/arbitrator/diableavionics_arbitratorBooster.png
diableavionics_sunrise_arbitratorBooster,sunrise,diableavionics_arbitratorBooster,graphics/da/ships/arbitrator/diableavionics_arbitratorBooster.png -> graphics/sunrise/ships/arbitrator/diableavionics_arbitratorBooster.png
